名前,ゆう,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,5 回,,,01,立直,6 回,75.00%,1 位,,0,±0,,東1局,-3140,5 回,-15700
総局数,40 回,,,03,ドラ,5 回,62.50%,12 位,,1,+1.3,,東2局,-4200,5 回,-21000
通算スコア,-80.8,,,52,赤ドラ,4 回,50.00%,1 位,,2,-9.2,,東3局,-2350,4 回,-9400
平均スコア,-16.16,,,16,一気通貫,3 回,37.50%,1 位,,3,-66.4,,南1局,+6125,4 回,24500
平均順位,2.20 位,,,06,ツモ,2 回,25.00%,13 位,,4,-39.4,,南2局,-5125,4 回,-20500
1位,1 回,20.0%,,07,平和,2 回,25.00%,1 位,,5,-80.8,,南3局,-1175,4 回,-4700
2位,2 回,40.0%,,10,役牌,2 回,25.00%,13 位,,,,,,,,
3位,2 回,40.0%,,28,混一色,2 回,25.00%,3 位,,,,,起家,スコア,回数,合計
1位スコア,+27.00,+27.00,,02,一発,1 回,12.50%,5 位,,,,,東家,-41.40,1 回,-41.4
2位スコア,-4.60,-9.20,,04,裏ドラ,1 回,12.50%,14 位,,,,,南家,-22.13,3 回,-66.4
3位スコア,-49.30,-98.60,,26,二盃口,1 回,12.50%,1 位,,,,,西家,+27.00,1 回,27
バランス,-8.97,,,08,一盃口,0 回,0.00%,14 位,,,,,,,,
ふっとび,1 回,20.0%,,09,タンヤオ,0 回,0.00%,14 位,,,,,相手,スコア,回数,合計
リーチ,15 回,37.5%,,11,海底摸月,0 回,0.00%,6 位,,,,,のり,-2.10,3 回,-6.3
副露,6 回,15.0%,,12,河底撈魚,0 回,0.00%,7 位,,,,,まっつん,-4.80,2 回,-9.6
リーチ成功,6 回,40.0%,,13,嶺上開花,0 回,0.00%,10 位,,,,,たか,-45.30,5 回,-226.5
副露成功,2 回,33.3%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
アガリ,8 回,20.0%,,15,ダブル立直,0 回,0.00%,6 位,,,,,,,,
放銃,8 回,20.0%,,17,チャンタ,0 回,0.00%,11 位,,,,,,,,
ツモ,2 回,25.0%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
ロン,6 回,75.0%,,20,三暗刻,0 回,0.00%,11 位,,,,,,,,
リーチアガリ,6 回,75.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ,2 回,25.0%,,22,対々和,0 回,0.00%,13 位,,,,,,,,
ダマアガリ,0 回,0.0%,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均アガリ点,8513,68100,,24,混老頭,0 回,0.00%,8 位,,,,,,,,
門前アガリ点,9767,58600,,25,七対子,0 回,0.00%,12 位,,,,,,,,
副露アガリ点,4750,9500,,27,純チャン,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-7988,-63900,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
連続アガリ,3 回,0 回,,30,清一色,0 回,0.00%,10 位,,,,,,,,
連続無放銃,7 回,1 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,4 個,,,32,四暗刻,0 回,0.00%,5 位,,,,,,,,
最高点,52000,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,6 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,1 回,12.5%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,1 回,12.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,4 回,50.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
6翻,1 回,12.5%,,41,天和,0 回,0.00%,1 位,,,,,,,,
7翻,1 回,12.5%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,9 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
