名前,ほたに,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,7 回,,,03,ドラ,11 回,73.33%,8 位,,0,±0,,東1局,-6086,7 回,-42600
総局数,62 回,,,01,立直,8 回,53.33%,6 位,,1,-46.5,,東2局,+167,6 回,1000
通算スコア,-104.8,,,04,裏ドラ,7 回,46.67%,3 位,,2,-25.4,,東3局,-6067,6 回,-36400
平均スコア,-14.97,,,10,役牌,7 回,46.67%,10 位,,3,-71.9,,南1局,-3333,6 回,-20000
平均順位,2.14 位,,,52,赤ドラ,5 回,33.33%,12 位,,4,-37.4,,南2局,+4567,3 回,13700
1位,3 回,42.9%,,02,一発,3 回,20.00%,1 位,,5,-12.1,,南3局,-5250,2 回,-10500
2位,0 回,0.0%,,06,ツモ,3 回,20.00%,14 位,,6,-59.3,,,,,
3位,4 回,57.1%,,28,混一色,2 回,13.33%,8 位,,7,-104.8,,起家,スコア,回数,合計
1位スコア,+26.97,+80.90,,07,平和,1 回,6.67%,13 位,,,,,東家,±0,0 回,0
2位スコア,±0,±0,,08,一盃口,1 回,6.67%,12 位,,,,,南家,-9.88,6 回,-59.3
3位スコア,-46.43,-185.70,,09,タンヤオ,1 回,6.67%,10 位,,,,,西家,-45.50,1 回,-45.5
バランス,-6.49,,,17,チャンタ,1 回,6.67%,1 位,,,,,,,,
ふっとび,4 回,57.1%,,22,対々和,1 回,6.67%,3 位,,,,,相手,スコア,回数,合計
リーチ,15 回,24.2%,,25,七対子,1 回,6.67%,1 位,,,,,のり,+65.55,2 回,131.1
副露,22 回,35.5%,,11,海底摸月,0 回,0.00%,6 位,,,,,りくと,+56.60,1 回,56.6
リーチ成功,8 回,53.3%,,12,河底撈魚,0 回,0.00%,7 位,,,,,ぱぱ,+17.85,2 回,35.7
副露成功,6 回,27.3%,,13,嶺上開花,0 回,0.00%,10 位,,,,,まっつん,-53.18,5 回,-265.9
アガリ,15 回,24.2%,,14,槍槓,0 回,0.00%,3 位,,,,,れんたろう,-60.65,2 回,-121.3
放銃,12 回,19.4%,,15,ダブル立直,0 回,0.00%,6 位,,,,,ただ,-75.30,2 回,-150.6
ツモ,5 回,33.3%,,16,一気通貫,0 回,0.00%,11 位,,,,,,,,
ロン,10 回,66.7%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
リーチアガリ,8 回,53.3%,,20,三暗刻,0 回,0.00%,11 位,,,,,,,,
副露アガリ,6 回,40.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,1 回,6.7%,,23,小三元,0 回,0.00%,6 位,,,,,,,,
平均アガリ点,7473,112100,,24,混老頭,0 回,0.00%,8 位,,,,,,,,
門前アガリ点,7856,70700,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
副露アガリ点,6900,41400,,27,純チャン,0 回,0.00%,6 位,,,,,,,,
平均放銃点,-9075,-108900,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
連続アガリ,2 回,0 回,,30,清一色,0 回,0.00%,10 位,,,,,,,,
連続無放銃,13 回,0 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,4 個,,,32,四暗刻,0 回,0.00%,5 位,,,,,,,,
最高点,59500,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,6 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,2 回,13.3%,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
2翻,3 回,20.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,1 回,6.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,3 回,20.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,4 回,26.7%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
6翻,1 回,6.7%,,41,天和,0 回,0.00%,1 位,,,,,,,,
7翻,1 回,6.7%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,9 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
