名前,やがさき,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,6 回,,,03,ドラ,16 回,100.00%,2 位,,0,±0,,東1局,-1083,6 回,-6500
総局数,46 回,,,10,役牌,14 回,87.50%,1 位,,1,-37.0,,東2局,+10800,6 回,64800
通算スコア,+100.4,,,52,赤ドラ,6 回,37.50%,12 位,,2,-24.7,,東3局,-3000,5 回,-15000
平均スコア,+16.73,,,06,ツモ,5 回,31.25%,7 位,,3,+14.5,,南1局,+6360,5 回,31800
平均順位,1.83 位,,,01,立直,4 回,25.00%,14 位,,4,-37.2,,南2局,-50,4 回,-200
1位,3 回,50.0%,,04,裏ドラ,4 回,25.00%,10 位,,5,+39.9,,南3局,+1833,3 回,5500
2位,1 回,16.7%,,28,混一色,3 回,18.75%,2 位,,6,+100.4,,,,,
3位,2 回,33.3%,,09,タンヤオ,2 回,12.50%,2 位,,,,,起家,スコア,回数,合計
ふっとび,0 回,0.0%,,51,オープン立直,2 回,12.50%,1 位,,,,,東家,-37.00,1 回,-37
ふっとばし,2 回,33.3%,,02,一発,1 回,6.25%,11 位,,,,,南家,+58.93,3 回,176.8
逆転,1 回,16.7%,,07,平和,1 回,6.25%,13 位,,,,,西家,-19.70,2 回,-39.4
リーチ,7 回,15.2%,,08,一盃口,1 回,6.25%,11 位,,,,,,,,
副露,17 回,37.0%,,16,一気通貫,1 回,6.25%,3 位,,,,,相手,スコア,回数,合計
リーチ成功,5 回,71.4%,,17,チャンタ,1 回,6.25%,1 位,,,,,いっしー,+138.95,2 回,277.9
副露成功,9 回,52.9%,,22,対々和,1 回,6.25%,3 位,,,,,たかの,+34.87,3 回,104.6
アガリ,16 回,34.8%,,11,海底摸月,0 回,0.00%,8 位,,,,,だいち,+29.57,3 回,88.7
ツモ,10 回,62.5%,,12,河底撈魚,0 回,0.00%,7 位,,,,,ただ,-42.50,4 回,-170
ロン,6 回,37.5%,,13,嶺上開花,0 回,0.00%,9 位,,,,,,,,
放銃,6 回,13.0%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,
連続アガリ,4 回,2 回,,15,ダブル立直,0 回,0.00%,9 位,,,,,,,,
連続無放銃,16 回,11 回,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,
平均アガリ点,12144,194300,,20,三暗刻,0 回,0.00%,11 位,,,,,,,,
平均放銃点,-10583,-63500,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
最大ドラ数,6 個,,,23,小三元,0 回,0.00%,6 位,,,,,,,,
最大点数,92100,,,24,混老頭,0 回,0.00%,5 位,,,,,,,,
チョンボ,0 回,0.0%,,25,七対子,0 回,0.00%,12 位,,,,,,,,
,,,,26,二盃口,0 回,0.00%,7 位,,,,,,,,
,,,,27,純チャン,0 回,0.00%,5 位,,,,,,,,
,,,,29,流し満貫,0 回,0.00%,5 位,,,,,,,,
,,,,30,清一色,0 回,0.00%,10 位,,,,,,,,
,,,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
,,,,32,四暗刻,0 回,0.00%,7 位,,,,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
,,,,34,大三元,0 回,0.00%,4 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
,,,,36,小四喜,0 回,0.00%,3 位,,,,,,,,
,,,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
,,,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
,,,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
,,,,41,天和,0 回,0.00%,1 位,,,,,,,,
,,,,42,地和,0 回,0.00%,1 位,,,,,,,,
,,,,43,人和,0 回,0.00%,1 位,,,,,,,,
,,,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
,,,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
,,,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
