名前,まっつん,,,コード,役,回数,割合,,回,スコア,,局,平均点数,合計点数,回数
対戦数,2 回,,,05,ガリ,6 回,300.0%,,0,±0,,東1局,-8100,-16200,2 回
総局数,14 回,,,03,ドラ,3 回,150.0%,,1,+15,,東2局,1900,3800,2 回
通算スコア,-24.3,,,10,役牌,3 回,150.0%,,2,-24,,東3局,-6650,-13300,2 回
平均スコア,-12.2,,,01,立直,0 回,0.0%,,,,,南1局,9600,19200,2 回
平均順位,2.50 位,,,02,一発,0 回,0.0%,,,,,南2局,-17800,-17800,1 回
1位,0 回,0.0%,,04,裏ドラ,0 回,0.0%,,,,,南3局,0,0,0 回
2位,1 回,50.0%,,06,ツモ,0 回,0.0%,,,,,,,,
3位,1 回,50.0%,,07,平和,0 回,0.0%,,,,,,,,
ふっとび,1 回,50.0%,,08,一盃口,0 回,0.0%,,,,,,,,
ふっとばし,0 回,0.0%,,09,タンヤオ,0 回,0.0%,,,,,,,,
リーチ,0 回,0.0%,,11,海底摸月,0 回,0.0%,,,,,,,,
副露,7 回,50.0%,,12,河底撈魚,0 回,0.0%,,,,,,,,
リーチ成功,0 回,0.0%,,13,嶺上開花,0 回,0.0%,,,,,,,,
副露成功,2 回,28.6%,,14,槍槓,0 回,0.0%,,,,,,,,
アガリ,2 回,14.3%,,15,ダブル立直,0 回,0.0%,,,,,,,,
ロン,2 回,14.3%,,16,一気通貫,0 回,0.0%,,,,,,,,
ツモ,0 回,0.0%,,17,チャンタ,0 回,0.0%,,,,,,,,
放銃,3 回,21.4%,,18,三色同順,0 回,0.0%,,,,,,,,
平均アガリ点,13000,26000,,19,三色同刻,0 回,0.0%,,,,,,,,
平均放銃点,-8000,-24000,,20,三暗刻,0 回,0.0%,,,,,,,,
親,3 回,21.4%,,21,三槓子,0 回,0.0%,,,,,,,,
親アガリ,1 回,33.3%,,22,対々和,0 回,0.0%,,,,,,,,
new局数,14 回,,,23,小三元,0 回,0.0%,,,,,,,,
newアガリ,2 回,,,24,混老頭,0 回,0.0%,,,,,,,,
,,,,25,七対子,0 回,0.0%,,,,,,,,
,,,,26,二盃口,0 回,0.0%,,,,,,,,
,,,,27,純チャン,0 回,0.0%,,,,,,,,
,,,,28,混一色,0 回,0.0%,,,,,,,,
,,,,29,流し満貫,0 回,0.0%,,,,,,,,
,,,,30,清一色,0 回,0.0%,,,,,,,,
,,,,31,国士無双,0 回,0.0%,,,,,,,,
,,,,32,四暗刻,0 回,0.0%,,,,,,,,
,,,,33,字一色,0 回,0.0%,,,,,,,,
,,,,34,大三元,0 回,0.0%,,,,,,,,
,,,,35,大四喜,0 回,0.0%,,,,,,,,
,,,,36,小四喜,0 回,0.0%,,,,,,,,
,,,,37,緑一色,0 回,0.0%,,,,,,,,
,,,,38,清老頭,0 回,0.0%,,,,,,,,
,,,,39,四槓子,0 回,0.0%,,,,,,,,
,,,,40,九蓮宝燈,0 回,0.0%,,,,,,,,
,,,,41,天和,0 回,0.0%,,,,,,,,
,,,,42,地和,0 回,0.0%,,,,,,,,
,,,,43,人和,0 回,0.0%,,,,,,,,
,,,,44,国士13面,0 回,0.0%,,,,,,,,
,,,,45,四暗刻単騎,0 回,0.0%,,,,,,,,
,,,,46,純正九蓮,0 回,0.0%,,,,,,,,
,,,,47,大車輪,0 回,0.0%,,,,,,,,
,,,,48,大竹林,0 回,0.0%,,,,,,,,
,,,,49,大数隣,0 回,0.0%,,,,,,,,
,,,,50,八連荘,0 回,0.0%,,,,,,,,
