名前,あさひ,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,6 回,,,01,立直,12 回,63.16%,3 位,,0,±0,,東1局,+7650,6 回,45900
総局数,50 回,,,03,ドラ,12 回,63.16%,11 位,,1,+28.3,,東2局,-6450,6 回,-38700
通算スコア,+48.0,,,05,ガリ,12 回,63.16%,12 位,,2,+71.3,,東3局,-1500,6 回,-9000
平均スコア,+8.00,,,10,役牌,10 回,52.63%,10 位,,3,+57.3,,南1局,+10700,4 回,42800
平均順位,1.83 位,,,04,裏ドラ,7 回,36.84%,3 位,,4,+65.5,,南2局,-1000,4 回,-4000
1位,3 回,50.0%,,06,ツモ,4 回,21.05%,12 位,,5,+90.0,,南3局,+2750,4 回,11000
2位,1 回,16.7%,,08,一盃口,4 回,21.05%,1 位,,6,+48.0,,,,,
3位,2 回,33.3%,,02,一発,3 回,15.79%,2 位,,,,,起家,スコア,回数,合計
1位スコア,+31.93,+95.80,,07,平和,3 回,15.79%,3 位,,,,,東家,-6.85,2 回,-13.7
2位スコア,+8.20,+8.20,,25,七対子,3 回,15.79%,2 位,,,,,南家,±0,0 回,0
3位スコア,-28.00,-56.00,,28,混一色,3 回,15.79%,6 位,,,,,西家,+15.43,4 回,61.7
バランス,+4.04,,,09,タンヤオ,1 回,5.26%,4 位,,,,,,,,
ふっとび,1 回,16.7%,,30,清一色,1 回,5.26%,1 位,,,,,相手,スコア,回数,合計
リーチ,21 回,42.0%,,11,海底摸月,0 回,0.00%,7 位,,,,,がくと,+38.60,2 回,77.2
副露,6 回,12.0%,,12,河底撈魚,0 回,0.00%,6 位,,,,,りくと,+29.67,3 回,89
リーチ成功,13 回,61.9%,,13,嶺上開花,0 回,0.00%,7 位,,,,,ただ,+6.20,3 回,18.6
副露成功,3 回,50.0%,,14,槍槓,0 回,0.00%,1 位,,,,,いっしー,+4.90,2 回,9.8
アガリ,19 回,38.0%,,15,ダブル立直,0 回,0.00%,7 位,,,,,れんたろう,-25.30,2 回,-50.6
放銃,4 回,8.0%,,16,一気通貫,0 回,0.00%,10 位,,,,,,,,
ツモ,6 回,31.6%,,17,チャンタ,0 回,0.00%,11 位,,,,,,,,
ロン,13 回,68.4%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,
リーチアガリ,13 回,68.4%,,20,三暗刻,0 回,0.00%,10 位,,,,,,,,
副露アガリ,3 回,15.8%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
ダマアガリ,3 回,15.8%,,22,対々和,0 回,0.00%,12 位,,,,,,,,
平均アガリ点,9163,174100,,23,小三元,0 回,0.00%,5 位,,,,,,,,
門前アガリ点,9700,155200,,24,混老頭,0 回,0.00%,6 位,,,,,,,,
副露アガリ点,6300,18900,,26,二盃口,0 回,0.00%,5 位,,,,,,,,
平均放銃点,-10025,-40100,,27,純チャン,0 回,0.00%,3 位,,,,,,,,
連続アガリ,3 回,0 回,,29,流し満貫,0 回,0.00%,4 位,,,,,,,,
連続無放銃,17 回,2 回,,31,国士無双,0 回,0.00%,7 位,,,,,,,,
最大ドラ数,5 個,,,32,四暗刻,0 回,0.00%,6 位,,,,,,,,
最高点,78000,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,3 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,0 回,0.0%,,36,小四喜,0 回,0.00%,1 位,,,,,,,,
2翻,4 回,21.1%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,3 回,15.8%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,4 回,21.1%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,5 回,26.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,
6翻,1 回,5.3%,,41,天和,0 回,0.00%,1 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,1 回,5.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,1 回,5.3%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
new局数,50 回,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
newアガリ,19 回,,,,,,,,,,,,,,,
