名前,ともき,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,36 回,,,03,ドラ,52 回,66.67%,12 位,,0,±0,1500,,東1局,-3177,35 回,-111200
総局数,281 回,,,01,立直,45 回,57.69%,6 位,,1,+7.0,1501,,東2局,-2291,35 回,-80200
通算スコア,-370.3,,,10,役牌,39 回,50.00%,12 位,,2,-24.5,1495,,東3局,-2915,34 回,-99100
平均スコア,-10.29,,,04,裏ドラ,31 回,39.74%,2 位,,3,-26.5,1495,,南1局,+1577,30 回,47300
レーティング,1445,,,06,ツモ,27 回,34.62%,7 位,,4,-15.5,1497,,南2局,+167,27 回,4500
平均順位,2.22 位,,,52,赤ドラ,24 回,30.77%,15 位,,5,+2.1,1500,,南3局,-1774,23 回,-40800
1位,9 回,25.0%,,02,一発,11 回,14.10%,5 位,,6,+12.3,1502,,,,,
2位,10 回,27.8%,,07,平和,8 回,10.26%,15 位,,7,+4.9,1500,,起家,スコア,回数,合計
3位,17 回,47.2%,,28,混一色,8 回,10.26%,16 位,,8,+37.6,1507,,東家,-17.05,12 回,-204.6
1位スコア,+28.54,+256.90,,08,一盃口,6 回,7.69%,11 位,,9,+13.1,1502,,南家,-4.58,14 回,-64.1
2位スコア,-0.13,-1.30,,09,タンヤオ,4 回,5.13%,13 位,,10,-33.3,1494,,西家,-10.16,10 回,-101.6
3位スコア,-36.82,-625.90,,22,対々和,4 回,5.13%,7 位,,11,+7.6,1501,,,,,
バランス,-2.80,,,13,嶺上開花,2 回,2.56%,1 位,,12,+25.8,1505,,相手,スコア,回数,合計
ふっとび,7 回,19.4%,,17,チャンタ,2 回,2.56%,3 位,,13,+64.2,1512,,かこたろう,+29.00,1 回,29
リーチ,88 回,31.3%,,24,混老頭,2 回,2.56%,1 位,,14,+70.6,1513,,ただ,+12.00,6 回,72
副露,32 回,11.4%,,25,七対子,2 回,2.56%,16 位,,15,+38.7,1507,,まっつん,+8.36,7 回,58.5
リーチ成功,43 回,48.9%,,15,ダブル立直,1 回,1.28%,3 位,,16,-10.6,1498,,ぱぱ,-0.17,3 回,-0.5
副露成功,20 回,62.5%,,11,海底摸月,0 回,0.00%,13 位,,17,-63.1,1490,,りくと,-0.34,7 回,-2.4
アガリ,78 回,27.8%,,12,河底撈魚,0 回,0.00%,10 位,,18,-71.0,1489,,れんたろう,-11.41,20 回,-228.1
放銃,56 回,19.9%,,14,槍槓,0 回,0.00%,3 位,,19,-40.6,1495,,のり,-22.93,3 回,-68.8
ツモ,41 回,52.6%,,16,一気通貫,0 回,0.00%,16 位,,20,-29.1,1497,,たかの,-26.93,7 回,-188.5
ロン,37 回,47.4%,,19,三色同刻,0 回,0.00%,4 位,,21,-46.2,1495,,だいち,-43.45,18 回,-782.1
リーチアガリ,43 回,55.1%,,20,三暗刻,0 回,0.00%,17 位,,22,-71.1,1491,,,,,
副露アガリ,20 回,25.6%,,21,三槓子,0 回,0.00%,1 位,,23,-117.5,1483,,,,,
ダマアガリ,15 回,19.2%,,23,小三元,0 回,0.00%,7 位,,24,-151.4,1477,,,,,
平均アガリ点,7451,581200,,26,二盃口,0 回,0.00%,10 位,,25,-187.7,1471,,,,,
門前アガリ点,7822,453700,,27,純チャン,0 回,0.00%,8 位,,26,-226.9,1465,,,,,
副露アガリ点,6375,127500,,29,流し満貫,0 回,0.00%,8 位,,27,-241.7,1463,,,,,
平均放銃点,-8371,-468800,,30,清一色,0 回,0.00%,15 位,,28,-235.3,1465,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,9 位,,29,-209.3,1471,,,,,
連続無放銃,20 回,0 回,,32,四暗刻,0 回,0.00%,11 位,,30,-167.6,1478,,,,,
最大ドラ数,7 個,,,33,字一色,0 回,0.00%,3 位,,31,-178.3,1476,,,,,
最高点,66700,,,34,大三元,0 回,0.00%,8 位,,32,-211.3,1471,,,,,
チョンボ,3 回,1.1%,,35,大四喜,0 回,0.00%,1 位,,33,-256.9,1463,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,34,-302.9,1455,,,,,
1翻,7 回,9.0%,,37,緑一色,0 回,0.00%,3 位,,35,-353.8,1447,,,,,
2翻,21 回,26.9%,,38,清老頭,0 回,0.00%,1 位,,36,-370.3,1445,,,,,
3翻,8 回,10.3%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,11 回,14.1%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,14 回,17.9%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
6翻,8 回,10.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,4 回,5.1%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,1.3%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,2 回,2.6%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,276 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,76 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
