名前,あさひ,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,9 回,,,01,立直,15 回,62.50%,4 位,,0,±0,1500,,東1局,+6100,9 回,54900
総局数,69 回,,,03,ドラ,15 回,62.50%,16 位,,1,+28.3,1505,,東2局,-3556,9 回,-32000
通算スコア,+109.0,,,10,役牌,13 回,54.17%,9 位,,2,+71.3,1513,,東3局,-1333,9 回,-12000
平均スコア,+12.11,,,04,裏ドラ,9 回,37.50%,3 位,,3,+57.3,1510,,南1局,+8786,7 回,61500
レーティング,1519,,,06,ツモ,5 回,20.83%,21 位,,4,+65.5,1512,,南2局,-529,7 回,-3700
平均順位,1.67 位,,,28,混一色,5 回,20.83%,3 位,,5,+90.0,1516,,南3局,+43,7 回,300
1位,5 回,55.6%,,07,平和,4 回,16.67%,4 位,,6,+48.0,1508,,,,,
2位,2 回,22.2%,,08,一盃口,4 回,16.67%,1 位,,7,+33.4,1506,,起家,スコア,回数,合計
3位,2 回,22.2%,,25,七対子,4 回,16.67%,1 位,,8,+70.5,1513,,東家,-6.85,2 回,-13.7
1位スコア,+34.28,+171.40,,02,一発,3 回,12.50%,6 位,,9,+109.0,1519,,南家,±0,0 回,0
2位スコア,-3.20,-6.40,,09,タンヤオ,2 回,8.33%,5 位,,,,,,西家,+17.53,7 回,122.7
3位スコア,-28.00,-56.00,,52,赤ドラ,2 回,8.33%,21 位,,,,,,,,,
バランス,+1.03,,,30,清一色,1 回,4.17%,1 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,11.1%,,11,海底摸月,0 回,0.00%,13 位,,,,,,まっつん,+45.70,3 回,137.1
リーチ,26 回,37.7%,,12,河底撈魚,0 回,0.00%,10 位,,,,,,ぱぱ,+45.50,1 回,45.5
副露,10 回,14.5%,,13,嶺上開花,0 回,0.00%,12 位,,,,,,がくと,+38.60,2 回,77.2
リーチ成功,16 回,61.5%,,14,槍槓,0 回,0.00%,3 位,,,,,,りくと,+29.67,3 回,89
副露成功,5 回,50.0%,,15,ダブル立直,0 回,0.00%,12 位,,,,,,いっしー,+26.47,3 回,79.4
アガリ,24 回,34.8%,,16,一気通貫,0 回,0.00%,16 位,,,,,,ただ,+6.20,3 回,18.6
放銃,6 回,8.7%,,17,チャンタ,0 回,0.00%,17 位,,,,,,れんたろう,-25.30,2 回,-50.6
ツモ,7 回,29.2%,,19,三色同刻,0 回,0.00%,4 位,,,,,,だいち,-69.20,1 回,-69.2
ロン,17 回,70.8%,,20,三暗刻,0 回,0.00%,17 位,,,,,,,,,
リーチアガリ,16 回,66.7%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,5 回,20.8%,,22,対々和,0 回,0.00%,17 位,,,,,,,,,
ダマアガリ,3 回,12.5%,,23,小三元,0 回,0.00%,7 位,,,,,,,,,
平均アガリ点,8892,213400,,24,混老頭,0 回,0.00%,11 位,,,,,,,,,
門前アガリ点,9611,182600,,26,二盃口,0 回,0.00%,10 位,,,,,,,,,
副露アガリ点,6160,30800,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
平均放銃点,-8400,-50400,,29,流し満貫,0 回,0.00%,8 位,,,,,,,,,
連続アガリ,3 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続無放銃,17 回,0 回,,32,四暗刻,0 回,0.00%,10 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,3 位,,,,,,,,,
最高点,78000,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,3 位,,,,,,,,,
2翻,4 回,16.7%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,4 回,16.7%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,6 回,25.0%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,6 回,25.0%,,41,天和,0 回,0.00%,4 位,,,,,,,,,
6翻,2 回,8.3%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,4.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,5 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,1 回,4.2%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,69 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,24 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
