名前,たか,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,21 回,,,03,ドラ,38 回,82.61%,5 位,,0,±0,1500,,東1局,+62,21 回,1300
総局数,163 回,,,01,立直,27 回,58.70%,6 位,,1,+35.0,1432,,東2局,-1010,21 回,-21200
通算スコア,-11.1,,,04,裏ドラ,20 回,43.48%,2 位,,2,+18.4,1430,,東3局,-233,18 回,-4200
平均スコア,-0.53,,,52,赤ドラ,19 回,41.30%,4 位,,3,+64.3,1438,,南1局,-3965,17 回,-67400
レーティング,1499,,,10,役牌,18 回,39.13%,19 位,,4,+109.9,1446,,南2局,+313,15 回,4700
平均順位,2.00 位,,,06,ツモ,12 回,26.09%,16 位,,5,+84.7,1442,,南3局,+3231,16 回,51700
1位,9 回,42.9%,,02,一発,7 回,15.22%,3 位,,6,+129.1,1450,,,,,
2位,3 回,14.3%,,07,平和,6 回,13.04%,14 位,,7,+87.5,1443,,起家,スコア,回数,合計
3位,9 回,42.9%,,08,一盃口,6 回,13.04%,3 位,,8,+106.5,1446,,東家,-18.80,6 回,-112.8
1位スコア,+38.38,+345.40,,28,混一色,6 回,13.04%,11 位,,9,+54.5,1437,,南家,-16.53,6 回,-99.2
2位スコア,-6.27,-18.80,,09,タンヤオ,4 回,8.70%,2 位,,10,+9.3,1429,,西家,+22.32,9 回,200.9
3位スコア,-37.52,-337.70,,25,七対子,3 回,6.52%,5 位,,11,+51.7,1508,,,,,
バランス,-1.80,,,20,三暗刻,2 回,4.35%,5 位,,12,+59.7,1509,,相手,スコア,回数,合計
ふっとび,3 回,14.3%,,15,ダブル立直,1 回,2.17%,2 位,,13,+19.7,1502,,ゆう,+45.30,5 回,226.5
リーチ,51 回,31.3%,,24,混老頭,1 回,2.17%,2 位,,14,+69.3,1511,,のり,+10.02,12 回,120.2
副露,33 回,20.2%,,30,清一色,1 回,2.17%,6 位,,15,+15.5,1502,,だいち,+6.50,6 回,39
リーチ成功,28 回,54.9%,,11,海底摸月,0 回,0.00%,13 位,,16,+39.3,1506,,たかの,+1.25,2 回,2.5
副露成功,12 回,36.4%,,12,河底撈魚,0 回,0.00%,10 位,,17,+10.5,1501,,まっつん,-11.00,3 回,-33
アガリ,46 回,28.2%,,13,嶺上開花,0 回,0.00%,12 位,,18,+50.2,1509,,いちかわ,-15.92,9 回,-143.3
放銃,37 回,22.7%,,14,槍槓,0 回,0.00%,3 位,,19,+30.4,1506,,ただ,-35.10,1 回,-35.1
ツモ,21 回,45.7%,,16,一気通貫,0 回,0.00%,16 位,,20,+23.4,1505,,れんたろう,-52.53,4 回,-210.1
ロン,25 回,54.3%,,17,チャンタ,0 回,0.00%,16 位,,21,-11.1,1499,,,,,
リーチアガリ,28 回,60.9%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,,
副露アガリ,12 回,26.1%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ダマアガリ,6 回,13.0%,,22,対々和,0 回,0.00%,16 位,,,,,,,,,
平均アガリ点,8685,399500,,23,小三元,0 回,0.00%,7 位,,,,,,,,,
門前アガリ点,9418,320200,,26,二盃口,0 回,0.00%,10 位,,,,,,,,,
副露アガリ点,6608,79300,,27,純チャン,0 回,0.00%,8 位,,,,,,,,,
平均放銃点,-8419,-311500,,29,流し満貫,0 回,0.00%,7 位,,,,,,,,,
連続アガリ,5 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,,
連続無放銃,17 回,0 回,,32,四暗刻,0 回,0.00%,9 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,74600,,,34,大三元,0 回,0.00%,8 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,4 位,,,,,,,,,
1翻,5 回,10.9%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,8 回,17.4%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,6 回,13.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,4 回,8.7%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,,
5翻,10 回,21.7%,,41,天和,0 回,0.00%,3 位,,,,,,,,,
6翻,9 回,19.6%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,2 回,4.3%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,2.2%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,1 回,2.2%,,45,四暗刻単騎,0 回,0.00%,4 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
New局数,163 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,,
Newアガリ,46 回,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
