名前,たか,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,10 回,,,03,ドラ,26 回,100.00%,2 位,,0,±0,,東1局,+410,10 回,4100
総局数,78 回,,,01,立直,19 回,73.08%,2 位,,1,+35.0,,東2局,-2890,10 回,-28900
通算スコア,+9.3,,,04,裏ドラ,17 回,65.38%,1 位,,2,+18.4,,東3局,+6000,7 回,42000
平均スコア,+0.93,,,52,赤ドラ,12 回,46.15%,3 位,,3,+64.3,,南1局,-9657,7 回,-67600
平均順位,2.00 位,,,06,ツモ,8 回,30.77%,10 位,,4,+109.9,,南2局,+1829,7 回,12800
1位,5 回,50.0%,,07,平和,5 回,19.23%,2 位,,5,+84.7,,南3局,+3271,7 回,22900
2位,0 回,0.0%,,10,役牌,5 回,19.23%,18 位,,6,+129.1,,,,,
3位,5 回,50.0%,,02,一発,4 回,15.38%,2 位,,7,+87.5,,起家,スコア,回数,合計
1位スコア,+37.98,+189.90,,08,一盃口,4 回,15.38%,2 位,,8,+106.5,,東家,-37.93,3 回,-113.8
2位スコア,±0,±0,,09,タンヤオ,3 回,11.54%,1 位,,9,+54.5,,南家,-15.93,3 回,-47.8
3位スコア,-36.12,-180.60,,20,三暗刻,2 回,7.69%,3 位,,10,+9.3,,西家,+42.73,4 回,170.9
バランス,+0.62,,,28,混一色,1 回,3.85%,17 位,,,,,,,,
ふっとび,2 回,20.0%,,30,清一色,1 回,3.85%,2 位,,,,,相手,スコア,回数,合計
リーチ,30 回,38.5%,,11,海底摸月,0 回,0.00%,12 位,,,,,ゆう,+45.30,5 回,226.5
副露,13 回,16.7%,,12,河底撈魚,0 回,0.00%,10 位,,,,,たかの,+38.00,1 回,38
リーチ成功,19 回,63.3%,,13,嶺上開花,0 回,0.00%,11 位,,,,,のり,+1.06,8 回,8.5
副露成功,5 回,38.5%,,14,槍槓,0 回,0.00%,3 位,,,,,まっつん,-11.00,3 回,-33
アガリ,26 回,33.3%,,15,ダブル立直,0 回,0.00%,11 位,,,,,だいち,-31.20,1 回,-31.2
放銃,19 回,24.4%,,16,一気通貫,0 回,0.00%,14 位,,,,,れんたろう,-90.45,2 回,-180.9
ツモ,12 回,46.2%,,17,チャンタ,0 回,0.00%,15 位,,,,,,,,
ロン,14 回,53.8%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,
リーチアガリ,19 回,73.1%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,
副露アガリ,5 回,19.2%,,22,対々和,0 回,0.00%,15 位,,,,,,,,
ダマアガリ,2 回,7.7%,,23,小三元,0 回,0.00%,7 位,,,,,,,,
平均アガリ点,9535,247900,,24,混老頭,0 回,0.00%,10 位,,,,,,,,
門前アガリ点,9662,202900,,25,七対子,0 回,0.00%,17 位,,,,,,,,
副露アガリ点,9000,45000,,26,二盃口,0 回,0.00%,10 位,,,,,,,,
平均放銃点,-10011,-190200,,27,純チャン,0 回,0.00%,8 位,,,,,,,,
連続アガリ,5 回,0 回,,29,流し満貫,0 回,0.00%,7 位,,,,,,,,
連続無放銃,11 回,0 回,,31,国士無双,0 回,0.00%,9 位,,,,,,,,
最大ドラ数,5 個,,,32,四暗刻,0 回,0.00%,9 位,,,,,,,,
最高点,70900,,,33,字一色,0 回,0.00%,1 位,,,,,,,,
チョンボ,0 回,0.0%,,34,大三元,0 回,0.00%,7 位,,,,,,,,
,,,,35,大四喜,0 回,0.00%,1 位,,,,,,,,
1翻,1 回,3.8%,,36,小四喜,0 回,0.00%,4 位,,,,,,,,
2翻,3 回,11.5%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,
3翻,6 回,23.1%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,
4翻,1 回,3.8%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,
5翻,8 回,30.8%,,40,九蓮宝燈,0 回,0.00%,3 位,,,,,,,,
6翻,6 回,23.1%,,41,天和,0 回,0.00%,3 位,,,,,,,,
7翻,0 回,0.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,
8翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,
9翻,1 回,3.8%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,
10翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,4 位,,,,,,,,
11翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,
12翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,
13翻～,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,,,,,,,
new局数,78 回,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,
newアガリ,26 回,,,51,オープン立直,0 回,0.00%,10 位,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
