名前,わさび,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,2 回,,,03,ドラ,7 回,175.00%,#N/A,,0,±0,1500,,東1局,-3650,2 回,-7300
総局数,18 回,,,10,役牌,4 回,100.00%,1 位,,1,+4.0,1501,,東2局,-850,2 回,-1700
通算スコア,-13.5,,,06,ツモ,2 回,50.00%,#N/A,,2,-13.5,1497,,東3局,-4150,2 回,-8300
平均スコア,-6.75,,,01,立直,1 回,25.00%,#N/A,,,,,,南1局,+2900,2 回,5800
レーティング,1497,,,04,裏ドラ,1 回,25.00%,#N/A,,,,,,南2局,+1850,2 回,3700
平均順位,2.50 位,,,16,一気通貫,1 回,25.00%,#N/A,,,,,,南3局,+2150,2 回,4300
1位,0 回,0.0%,,28,混一色,1 回,25.00%,#N/A,,,,,,,,,
2位,1 回,50.0%,,52,赤ドラ,1 回,25.00%,7 位,,,,,,起家,スコア,回数,合計
3位,1 回,50.0%,,02,一発,0 回,0.00%,5 位,,,,,,東家,-17.50,1 回,-17.5
1位スコア,±0,±0,,07,平和,0 回,0.00%,7 位,,,,,,南家,+4.00,1 回,4
2位スコア,+4.00,+4.00,,08,一盃口,0 回,0.00%,7 位,,,,,,西家,±0,0 回,0
3位スコア,-17.50,-17.50,,09,タンヤオ,0 回,0.00%,7 位,,,,,,,,,
バランス,-4.50,,,11,海底摸月,0 回,0.00%,3 位,,,,,,相手,スコア,回数,合計
ふっとび,0 回,0.0%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,りくと,-3.65,2 回,-7.3
リーチ,4 回,22.2%,,13,嶺上開花,0 回,0.00%,2 位,,,,,,いちかわ,-16.20,1 回,-16.2
副露,5 回,27.8%,,14,槍槓,0 回,0.00%,1 位,,,,,,ただ,-17.00,1 回,-17
リーチ成功,1 回,25.0%,,15,ダブル立直,0 回,0.00%,2 位,,,,,,,,,
副露成功,2 回,40.0%,,17,チャンタ,0 回,0.00%,3 位,,,,,,,,,
アガリ,4 回,22.2%,,19,三色同刻,0 回,0.00%,1 位,,,,,,,,,
放銃,3 回,16.7%,,20,三暗刻,0 回,0.00%,4 位,,,,,,,,,
ツモ,4 回,100.0%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,0 回,0.0%,,22,対々和,0 回,0.00%,5 位,,,,,,,,,
リーチアガリ,1 回,25.0%,,23,小三元,0 回,0.00%,1 位,,,,,,,,,
副露アガリ,2 回,50.0%,,24,混老頭,0 回,0.00%,2 位,,,,,,,,,
ダマアガリ,1 回,25.0%,,25,七対子,0 回,0.00%,7 位,,,,,,,,,
平均アガリ点,10925,43700,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
門前アガリ点,9850,19700,,27,純チャン,0 回,0.00%,1 位,,,,,,,,,
副露アガリ点,12000,24000,,29,流し満貫,0 回,0.00%,1 位,,,,,,,,,
平均放銃点,-10300,-30900,,30,清一色,0 回,0.00%,3 位,,,,,,,,,
連続アガリ,2 回,1 回,,31,国士無双,0 回,0.00%,2 位,,,,,,,,,
連続無放銃,5 回,3 回,,32,四暗刻,0 回,0.00%,1 位,,,,,,,,,
最大ドラ数,3 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,39000,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,0 回,0.0%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,0 回,0.0%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,2 回,50.0%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,0 回,0.0%,,41,天和,0 回,0.00%,1 位,,,,,,,,,
6翻,2 回,50.0%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,3 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
