名前,いっしー,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
対戦数,4 回,,,03,ドラ,7 回,77.78%,7 位,,0,±0,1500,,東1局,-4450,4 回,-17800
総局数,36 回,,,10,役牌,5 回,55.56%,9 位,,1,-4.5,1500,,東2局,-3150,4 回,-12600
通算スコア,-77.7,,,01,立直,4 回,44.44%,5 位,,2,-3.4,1501,,東3局,+3475,4 回,13900
平均スコア,-19.43,,,04,裏ドラ,4 回,44.44%,1 位,,3,-55.2,1493,,南1局,-1967,3 回,-5900
レーティング,1490,,,06,ツモ,4 回,44.44%,4 位,,4,-77.7,1490,,南2局,-9400,3 回,-28200
平均順位,2.50 位,,,52,赤ドラ,4 回,44.44%,5 位,,,,,,南3局,-2367,3 回,-7100
1位,0 回,0.0%,,07,平和,1 回,11.11%,7 位,,,,,,,,,
2位,2 回,50.0%,,16,一気通貫,1 回,11.11%,2 位,,,,,,起家,スコア,回数,合計
3位,2 回,50.0%,,20,三暗刻,1 回,11.11%,2 位,,,,,,東家,-4.50,1 回,-4.5
1位スコア,±0,±0,,22,対々和,1 回,11.11%,2 位,,,,,,南家,+1.10,1 回,1.1
2位スコア,-1.70,-3.40,,02,一発,0 回,0.00%,12 位,,,,,,西家,-37.15,2 回,-74.3
3位スコア,-37.15,-74.30,,08,一盃口,0 回,0.00%,10 位,,,,,,,,,
バランス,-12.95,,,09,タンヤオ,0 回,0.00%,11 位,,,,,,相手,スコア,回数,合計
ふっとび,1 回,25.0%,,11,海底摸月,0 回,0.00%,6 位,,,,,,れんたろう,-21.08,4 回,-84.3
リーチ,6 回,16.7%,,12,河底撈魚,0 回,0.00%,1 位,,,,,,だいち,-37.20,4 回,-148.8
副露,8 回,22.2%,,13,嶺上開花,0 回,0.00%,5 位,,,,,,,,,
リーチ成功,4 回,66.7%,,14,槍槓,0 回,0.00%,1 位,,,,,,,,,
副露成功,2 回,25.0%,,15,ダブル立直,0 回,0.00%,5 位,,,,,,,,,
アガリ,9 回,25.0%,,17,チャンタ,0 回,0.00%,7 位,,,,,,,,,
放銃,10 回,27.8%,,19,三色同刻,0 回,0.00%,3 位,,,,,,,,,
ツモ,5 回,55.6%,,21,三槓子,0 回,0.00%,1 位,,,,,,,,,
ロン,4 回,44.4%,,23,小三元,0 回,0.00%,3 位,,,,,,,,,
リーチアガリ,4 回,44.4%,,24,混老頭,0 回,0.00%,5 位,,,,,,,,,
副露アガリ,2 回,22.2%,,25,七対子,0 回,0.00%,9 位,,,,,,,,,
ダマアガリ,3 回,33.3%,,26,二盃口,0 回,0.00%,1 位,,,,,,,,,
平均アガリ点,6744,60700,,27,純チャン,0 回,0.00%,6 位,,,,,,,,,
門前アガリ点,7257,50800,,28,混一色,0 回,0.00%,12 位,,,,,,,,,
副露アガリ点,4950,9900,,29,流し満貫,0 回,0.00%,3 位,,,,,,,,,
平均放銃点,-7370,-73700,,30,清一色,0 回,0.00%,7 位,,,,,,,,,
連続アガリ,1 回,0 回,,31,国士無双,0 回,0.00%,5 位,,,,,,,,,
連続無放銃,10 回,0 回,,32,四暗刻,0 回,0.00%,4 位,,,,,,,,,
最大ドラ数,5 個,,,33,字一色,0 回,0.00%,1 位,,,,,,,,,
最高点,36100,,,34,大三元,0 回,0.00%,1 位,,,,,,,,,
チョンボ,0 回,0.0%,,35,大四喜,0 回,0.00%,1 位,,,,,,,,,
,,,,36,小四喜,0 回,0.00%,1 位,,,,,,,,,
1翻,0 回,0.0%,,37,緑一色,0 回,0.00%,1 位,,,,,,,,,
2翻,1 回,11.1%,,38,清老頭,0 回,0.00%,1 位,,,,,,,,,
3翻,5 回,55.6%,,39,四槓子,0 回,0.00%,1 位,,,,,,,,,
4翻,1 回,11.1%,,40,九蓮宝燈,0 回,0.00%,1 位,,,,,,,,,
5翻,0 回,0.0%,,41,天和,0 回,0.00%,3 位,,,,,,,,,
6翻,1 回,11.1%,,42,地和,0 回,0.00%,1 位,,,,,,,,,
7翻,0 回,0.0%,,43,人和,0 回,0.00%,1 位,,,,,,,,,
8翻,1 回,11.1%,,44,国士13面,0 回,0.00%,1 位,,,,,,,,,
9翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,3 位,,,,,,,,,
10翻,0 回,0.0%,,46,純正九蓮,0 回,0.00%,1 位,,,,,,,,,
11翻,0 回,0.0%,,47,大車輪,0 回,0.00%,1 位,,,,,,,,,
12翻,0 回,0.0%,,48,大竹林,0 回,0.00%,1 位,,,,,,,,,
13翻～,0 回,0.0%,,49,大数隣,0 回,0.00%,1 位,,,,,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,,,,,,,,
,,,,51,オープン立直,0 回,0.00%,5 位,,,,,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,,
