名前,れんたろう,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
対戦数,49 回,,,03,ドラ,91 回,85.05%,3 位,,0,±0,,東1局,-1296,47 回,-60900
総局数,395 回,,,01,立直,54 回,50.47%,4 位,,1,-2.9,,東2局,-1536,47 回,-72200
通算スコア,-106.6,,,10,役牌,54 回,50.47%,7 位,,2,+32.9,,東3局,+523,43 回,22500
平均スコア,-2.18,,,52,赤ドラ,53 回,49.53%,2 位,,3,+61.5,,南1局,-1854,39 回,-72300
平均順位,2.06 位,,,06,ツモ,30 回,28.04%,5 位,,4,+27.4,,南2局,+350,36 回,12600
1位,18 回,36.7%,,04,裏ドラ,27 回,25.23%,5 位,,5,+18.0,,南3局,+3638,26 回,94600
2位,10 回,20.4%,,28,混一色,15 回,14.02%,5 位,,6,+43.6,,,,,
3位,21 回,42.9%,,08,一盃口,13 回,12.15%,3 位,,7,+16.9,,起家,スコア,回数,合計
1位スコア,+41.46,+746.30,,02,一発,11 回,10.28%,5 位,,8,-10.0,,東家,-11.39,17 回,-193.7
2位スコア,-2.70,-27.00,,07,平和,11 回,10.28%,8 位,,9,+33.5,,南家,+11.05,13 回,143.7
3位スコア,-39.33,-825.90,,25,七対子,10 回,9.35%,2 位,,10,+26.0,,西家,-2.98,19 回,-56.6
バランス,-0.19,,,30,清一色,7 回,6.54%,1 位,,11,-8.7,,,,,
ふっとび,9 回,18.4%,,09,タンヤオ,6 回,5.61%,8 位,,12,+15.9,,相手,スコア,回数,合計
リーチ,116 回,29.4%,,16,一気通貫,4 回,3.74%,5 位,,13,-33.5,,ともき,+26.68,4 回,106.7
副露,78 回,19.7%,,20,三暗刻,4 回,3.74%,2 位,,14,+15.1,,ぱぱ,+9.12,9 回,82.1
リーチ成功,53 回,45.7%,,17,チャンタ,3 回,2.80%,3 位,,15,-33.1,,ただ,+8.13,11 回,89.4
副露成功,30 回,38.5%,,22,対々和,3 回,2.80%,7 位,,16,-10.8,,まっつん,+3.02,18 回,54.3
アガリ,107 回,27.1%,,31,国士無双,2 回,1.87%,2 位,,17,-32.9,,のり,-0.30,3 回,-0.9
放銃,75 回,19.0%,,13,嶺上開花,1 回,0.93%,2 位,,18,-69.3,,だいち,-4.67,38 回,-177.3
ツモ,47 回,43.9%,,36,小四喜,1 回,0.93%,1 位,,19,-44.5,,りくと,-29.54,8 回,-236.3
ロン,60 回,56.1%,,51,オープン立直,1 回,0.93%,5 位,,20,-72.0,,たかの,-33.97,7 回,-237.8
リーチアガリ,53 回,49.5%,,11,海底摸月,0 回,0.00%,4 位,,21,-118.5,,,,,
副露アガリ,30 回,28.0%,,12,河底撈魚,0 回,0.00%,1 位,,22,-81.2,,,,,
ダマアガリ,24 回,22.4%,,14,槍槓,0 回,0.00%,1 位,,23,-79.9,,,,,
平均アガリ点,10267,1098600,,15,ダブル立直,0 回,0.00%,4 位,,24,+7.4,,,,,
門前アガリ点,11044,850400,,19,三色同刻,0 回,0.00%,1 位,,25,-45.5,,,,,
副露アガリ点,8273,248200,,21,三槓子,0 回,0.00%,1 位,,26,-118.2,,,,,
平均放銃点,-8285,-621400,,23,小三元,0 回,0.00%,3 位,,27,-164.8,,,,,
連続アガリ,7 回,0 回,,24,混老頭,0 回,0.00%,4 位,,28,-131.2,,,,,
連続無放銃,25 回,5 回,,26,二盃口,0 回,0.00%,4 位,,29,-89.6,,,,,
最大ドラ数,7 個,,,27,純チャン,0 回,0.00%,3 位,,30,+1.4,,,,,
最高点,116000,,,29,流し満貫,0 回,0.00%,1 位,,31,+8.2,,,,,
チョンボ,2 回,0.5%,,32,四暗刻,0 回,0.00%,3 位,,32,-18.6,,,,,
,,,,33,字一色,0 回,0.00%,1 位,,33,-17.8,,,,,
1翻,4 回,3.7%,,34,大三元,0 回,0.00%,3 位,,34,-68.1,,,,,
2翻,13 回,12.1%,,35,大四喜,0 回,0.00%,1 位,,35,-29.4,,,,,
3翻,10 回,9.3%,,37,緑一色,0 回,0.00%,1 位,,36,-70.0,,,,,
4翻,30 回,28.0%,,38,清老頭,0 回,0.00%,1 位,,37,-124.4,,,,,
5翻,20 回,18.7%,,39,四槓子,0 回,0.00%,1 位,,38,-160.3,,,,,
6翻,11 回,10.3%,,40,九蓮宝燈,0 回,0.00%,1 位,,39,-154.8,,,,,
7翻,9 回,8.4%,,41,天和,0 回,0.00%,3 位,,40,-180.7,,,,,
8翻,4 回,3.7%,,42,地和,0 回,0.00%,1 位,,41,-148.2,,,,,
9翻,1 回,0.9%,,43,人和,0 回,0.00%,1 位,,42,-193.8,,,,,
10翻,0 回,0.0%,,44,国士13面,0 回,0.00%,1 位,,43,-202.1,,,,,
11翻,0 回,0.0%,,45,四暗刻単騎,0 回,0.00%,1 位,,44,-184.2,,,,,
12翻,2 回,1.9%,,46,純正九蓮,0 回,0.00%,1 位,,45,-214.0,,,,,
13翻～,3 回,2.8%,,47,大車輪,0 回,0.00%,1 位,,46,-200.5,,,,,
,,,,48,大竹林,0 回,0.00%,1 位,,47,-157.0,,,,,
,,,,49,大数隣,0 回,0.00%,1 位,,48,-87.9,,,,,
,,,,50,八連荘,0 回,0.00%,1 位,,49,-106.6,,,,,
,,,,53,十三不塔,0 回,0.00%,1 位,,,,,,,,
